Drill Listing
=============
Drill: .007  Tool: 1  Feed: 0  Speed: 0
X 1970458  Y 1476146
X 1974879  Y 1476208
X 1977661  Y 1476208
X 1977414  Y 1478940
X 1974697  Y 1479137
X 1989061  Y 1479142
X 1986093  Y 1479173
X 1973299  Y 1480634
X 1983033  Y 1480750
X 1986248  Y 1481306
X 1988968  Y 1481677
X 1973685  Y 1482574
X 1989710  Y 1484521
X 1973747  Y 1488077
X 1991317  Y 1490803
X 1989218  Y 1490803
X 1973716  Y 1492931
X 1973438  Y 1497689
X 1992992  Y 1500196
X 1986203  Y 1503342
X 1983053  Y 1503342
X 1988003  Y 1503342
X 1981478  Y 1504303
X 1984628  Y 1504303
X 1978870  Y 1506291
X 1979838  Y 1507942
X 1992521  Y 1509738
X 1981454  Y 1510221
X 1982817  Y 1512444
X 1992521  Y 1512738
X 1992521  Y 1515738
X 1981979  Y 1516062
X 1979375  Y 1517631
X 1983896  Y 1518165
X 1992521  Y 1518738
X 1975447  Y 1519828
X 1983896  Y 1521314
X 1976827  Y 1521721
X 1992521  Y 1521738
X 1983003  Y 1522889
X 1983896  Y 1524464
X 1983003  Y 1526039
X 1983896  Y 1527614
X 1973685  Y 1527679
X 1983003  Y 1529188
X 1993404  Y 1530732
X 1973370  Y 1532381
X 1986851  Y 1534465
X 1986977  Y 1538259
X 1989465  Y 1540547
X 1993427  Y 1542503
X 1973452  Y 1543387
X 1991695  Y 1544358
X 1984863  Y 1544807
X 1987635  Y 1544807
X 1982688  Y 1545195
X 1973216  Y 1545199
X 1977067  Y 1545565
X 1979664  Y 1545916
X 1989779  Y 1546120
X 1973101  Y 1547113
X 1975621  Y 1547163
X 1982959  Y 1547244
X 1985377  Y 1547351
X 1988233  Y 1547542
X 1978003  Y 1547624
X 1981022  Y 1547694
X 1993495  Y 1548570
X 1974311  Y 1549202
X 1971262  Y 1549282
X 1979700  Y 1549803
X 1977700  Y 1549803
X 1981700  Y 1549803
X 1986873  Y 1549922
X 1984245  Y 1549922
X 1993495  Y 1550363
X 1991764  Y 1550425
X 1995412  Y 1550301
X 1998194  Y 1550270
X 2004253  Y 1550177
X 2001409  Y 1550115
X 2007908  Y 1550086
X 2010209  Y 1549601
X 2013100  Y 1549573
X 2016352  Y 1549525
X 2006294  Y 1548477
X 1997050  Y 1548261
X 1999771  Y 1548137
X 2002367  Y 1548013
X 2018114  Y 1547943
X 2014814  Y 1547846
X 2010882  Y 1547749
X 2004439  Y 1547055
X 2009141  Y 1547028
X 1995226  Y 1546808
X 2012387  Y 1546633
X 1998874  Y 1546251
X 2017411  Y 1546218
X 2007290  Y 1546160
X 2002429  Y 1545880
X 2010282  Y 1545571
X 1996834  Y 1545262
X 2015518  Y 1544956
X 2004037  Y 1544458
X 2017848  Y 1543839
X 2007406  Y 1543716
X 2012533  Y 1543478
X 2015276  Y 1542869
X 2009540  Y 1542603
X 2002646  Y 1542479
X 2004748  Y 1542047
X 2018139  Y 1541461
X 2000883  Y 1541428
X 2014936  Y 1541170
X 2007345  Y 1541150
X 1994725  Y 1540988
X 2012994  Y 1540976
X 2011085  Y 1540315
X 2002429  Y 1539883
X 2005706  Y 1539604
X 2008612  Y 1539388
X 2016392  Y 1539374
X 1996302  Y 1539319
X 2013383  Y 1538840
X 1997786  Y 1537989
X 2004191  Y 1537904
X 2011209  Y 1537564
X 2014742  Y 1537141
X 2005799  Y 1536575
X 1999239  Y 1536506
X 2016635  Y 1536219
X 2013286  Y 1535443
X 2011394  Y 1535245
X 2000661  Y 1534991
X 2017508  Y 1534278
X 2015033  Y 1534229
X 2009570  Y 1533938
X 2011736  Y 1532897
X 2007846  Y 1532366
X 2015955  Y 1532288
X 2013850  Y 1532216
X 2009708  Y 1531010
X 2018125  Y 1530306
X 2015575  Y 1527755
X 2013469  Y 1527288
X 2004521  Y 1521738
X 1995521  Y 1521738
X 1998521  Y 1521738
X 2001521  Y 1521738
X 2004521  Y 1518738
X 2001521  Y 1518738
X 1995521  Y 1518738
X 1998521  Y 1518738
X 2018333  Y 1518111
X 2004521  Y 1515738
X 1998521  Y 1515738
X 2001521  Y 1515738
X 1995521  Y 1515738
X 2014503  Y 1515017
X 2016681  Y 1513795
X 2012304  Y 1513440
X 1995521  Y 1512738
X 2004521  Y 1512738
X 2001521  Y 1512738
X 1998521  Y 1512738
X 2018500  Y 1511961
X 2014203  Y 1511866
X 2013111  Y 1510291
X 1995521  Y 1509738
X 1998521  Y 1509738
X 2001521  Y 1509738
X 2004521  Y 1509738
X 2014808  Y 1508716
X 2008458  Y 1505368
X 2005590  Y 1500960
X 2004015  Y 1499617
X 2008019  Y 1490803
X 1999291  Y 1490803
X 1996141  Y 1490803
X 2002440  Y 1490803
X 2010401  Y 1489899
X 2000866  Y 1487843
X 1997716  Y 1487843
X 1994566  Y 1487843
X 2007763  Y 1486000
X 2009948  Y 1486000
X 1994193  Y 1484707
X 1993791  Y 1482048
